index,SYMPTOMS,JACKFRUIT,SAMBONG,LEMON,JASMINE,MANGO,MINT,AMPALAYA,MALUNGGAY,GUAVA,LAGUNDI
0,Is there a remedy for headaches,0,0,0,0,0,1,0,0,0,0
1,Is there a herbal for high uric acid,0,1,0,0,0,0,0,0,0,0
2,Is there a remedy for indigestion,0,0,0,0,0,1,0,0,1,0
3,What herbal should I use with stroke,0,0,1,0,0,0,0,0,0,0
4,Is there a remedy for fiber,1,0,1,0,0,0,0,0,1,0
5,Which natural remedy should I use for lower respiratory tract infection,0,1,0,0,0,0,0,0,1,1
6,Is there a herbal for calcium,0,0,0,0,0,0,0,1,0,0
7,What herbal should I use with diabetes,1,0,0,0,1,0,1,1,1,0
8,I need a herbal for low calories,0,0,0,0,1,0,0,0,0,0
9,I have muscle pain,0,1,0,0,0,0,0,0,0,1
10,I have anti-diarrhea,0,1,0,0,0,0,0,0,0,0
11,Which natural remedy should I use for anxiety,0,0,0,1,0,0,0,0,0,0
12,Is there a herbal for digestion,0,0,0,0,0,1,0,0,1,0
13,I need a herbal for blood clotting,0,1,0,0,0,0,0,0,0,0
14,I need a herbal for infected wound,0,1,0,0,0,0,0,0,0,0
15,I need a herbal for ulcers,1,0,0,0,0,0,0,0,0,0
16,My need concerns with aromatherapy,0,0,0,0,0,1,0,0,0,0
17,Herbal for pregnancy,0,0,0,0,1,0,0,0,0,0
18,What herbal should I use with sedative,0,0,1,1,0,0,0,0,0,0
19,Is there a remedy for upper respiratory tract infection,0,1,0,0,0,0,0,0,1,1
20,I have pregnancy,0,0,0,0,1,0,0,0,0,0
21,What herbal should I use with antimicrobial,0,1,0,0,0,1,0,0,1,1
22,I need a herbal for dull hair,0,0,0,0,1,0,0,0,0,0
23,Is there a remedy for antioxidant,0,1,0,1,0,0,1,1,1,0
24,What herbal should I use with skin,0,0,0,0,1,0,0,0,1,1
25,Herbal for acute rhinosinusitis,0,1,0,0,0,0,0,0,0,0
26,Which natural remedy should I use for antioxidant,0,1,0,1,0,0,1,1,1,0
27,Is there a remedy for Vitamin A,0,0,0,0,1,0,0,0,0,0
28,What herbal should I use with anxiety,0,0,0,1,0,0,0,0,0,0
29,What herbal should I use with platelet aggregation,0,1,0,0,0,0,0,0,0,0
30,Is there a remedy for scalds on skin,0,0,0,0,1,0,0,0,0,0
31,I have hypertension,0,1,0,0,0,0,0,0,0,0
32,What herbal should I use with anti-diarrhea,0,1,0,0,0,0,0,0,0,0
33,Which natural remedy should I use for digestion,0,0,0,0,0,1,0,0,1,0
34,I need a herbal for cell repair,0,0,0,0,1,0,0,0,1,0
35,Is there a remedy for liver,0,1,0,1,0,0,1,0,0,0
36,Is there a remedy for cold,0,0,0,0,0,1,0,0,0,1
37,What herbal should I use with refreshing,0,0,0,0,0,1,0,0,0,0
38,Herbal for kidney problem,0,1,0,0,0,0,0,0,0,0
39,My need concerns with laryngitis,0,1,0,0,0,0,0,0,1,1
40,Herbal for malnutrition,0,0,0,0,0,0,0,1,0,0
41,Is there a herbal for citric acid,0,0,1,0,0,0,0,0,0,0
42,Is there a remedy for acute rhinitis,0,1,0,0,0,0,0,0,0,0
43,Is there a remedy for blood clotting,0,1,0,0,0,0,0,0,0,0
44,I need a herbal for liver pain,0,0,0,1,0,0,0,0,0,0
45,Is there a herbal for vitamin A,0,0,0,0,0,0,0,1,0,0
46,Is there a herbal for urinary tract infection,0,1,0,0,0,0,0,0,0,0
47,My need concerns with immune system,1,0,0,1,1,0,1,0,1,0
48,I have medicine,0,0,0,1,0,0,0,0,0,1
49,Is there a remedy for stroke,0,0,1,0,0,0,0,0,0,0
50,Which natural remedy should I use for gut,0,0,1,0,0,0,0,0,0,0
51,Herbal for rich in iron,0,0,1,0,1,0,0,0,0,0
52,I have LBM,0,1,0,0,0,0,0,0,0,0
53,Is there a remedy for rich in minerals,0,0,0,0,0,0,1,0,0,0
54,Is there a remedy for lower respiratory tract infection,0,1,0,0,0,0,0,0,1,1
55,Is there a remedy for acute otitis media,0,1,0,0,0,0,0,0,0,0
56,My need concerns with gut problems,1,0,0,0,0,0,0,0,0,0
57,Is there a herbal for relax muscle,0,1,0,0,0,0,0,0,0,0
58,Herbal for nasal congestion,0,1,0,0,0,2,0,0,0,1
59,Is there a herbal for cooling sensation,0,0,0,0,0,1,0,0,0,0
60,Is there a herbal for mental clarity,0,0,0,1,0,0,0,0,0,0
61,I have rich in vitamins,0,0,0,0,0,0,1,1,0,0
62,I need a herbal for cirrhosis,0,0,0,1,0,0,0,0,0,0
63,What herbal should I use with hepatitis,0,1,0,1,0,0,0,0,0,0
64,My need concerns with loose stools,0,1,0,0,0,0,0,0,0,0
65,I need a herbal for sore throat,0,0,0,0,0,1,0,0,0,1
66,I need a herbal for cough,0,1,0,0,0,1,0,0,1,1
67,What herbal should I use with bloating,0,0,0,0,0,1,0,0,0,0
68,What herbal should I use with hepatoprotective,0,1,0,1,0,0,0,0,0,0
69,Is there a herbal for kidney stones,0,1,1,0,0,0,0,0,0,0
70,Which natural remedy should I use for skin irritation,0,0,0,0,0,0,0,0,0,1
71,Is there a herbal for staph infection,0,0,0,0,1,0,0,0,0,0
72,I have anti-diabetic,1,0,0,0,1,0,1,0,0,0
73,My need concerns with tumor,0,1,0,0,0,0,0,0,0,0
74,Is there a herbal for stroke,0,0,1,0,0,0,0,0,0,0
75,My need concerns with viral infection,1,0,0,0,0,0,0,0,0,0
76,I have pharyngitis,0,1,0,0,0,0,0,0,1,1
77,My need concerns with hepatitis,0,1,0,1,0,0,0,0,0,0
78,My need concerns with mental clarity,0,0,0,1,0,0,0,0,0,0
79,My need concerns with high uric acid,0,1,0,0,0,0,0,0,0,0
80,I need a herbal for respiratory infection,0,1,0,0,0,0,0,0,1,1
81,Which natural remedy should I use for rhinitis,0,1,0,0,0,1,0,0,0,0
82,Herbal for skin infection,0,0,0,0,1,0,0,0,0,0
83,My need concerns with digestion,0,0,0,0,0,1,0,0,1,0
84,I have tonsilitis,0,1,0,0,0,0,0,0,1,1
85,Which natural remedy should I use for tea,0,1,1,1,0,0,0,1,1,0
86,Is there a herbal for liver disease,0,0,0,1,0,0,0,0,0,0
87,Herbal for anti-obesity,0,1,0,0,0,0,0,0,0,0
88,Is there a remedy for cancer,1,0,0,1,0,0,0,0,0,0
89,I need a herbal for heart problems,1,0,0,0,0,0,0,0,0,0
90,What herbal should I use with vitamin E,0,0,0,0,0,0,0,1,0,0
91,Is there a remedy for viral infection,1,0,0,0,0,0,0,0,0,0
92,I have stress,0,0,0,1,0,0,0,1,0,0
93,Is there a remedy for promote satiety/satisfaction,0,0,0,0,0,0,1,0,0,0
94,I need a herbal for weight management,0,0,0,0,0,0,1,0,0,0
95,I need a herbal for lower respiratory tract infection,0,1,0,0,0,0,0,0,1,1
96,My need concerns with protein,0,0,0,0,0,0,0,1,0,0
97,What herbal should I use with hypertension,0,1,0,0,0,0,0,0,0,0
98,Herbal for cell growth,0,0,0,0,1,0,0,0,1,0
99,Is there a remedy for cell damage,0,0,0,0,1,0,0,0,1,0
100,I need a herbal for healthy digestion,0,0,0,0,0,1,0,0,0,0
101,Which natural remedy should I use for lower cholesterol,0,0,1,0,0,0,0,0,0,0
102,Is there a remedy for natural decongestant,0,0,0,0,0,1,0,0,0,0
103,My need concerns with weight management,0,0,0,0,0,0,1,0,0,0
104,What herbal should I use with Alzheimerâ€™s disease,0,0,0,1,0,0,0,0,0,0
105,What herbal should I use with acute rhinosinusitis,0,1,0,0,0,0,0,0,0,0
106,I have healthy digestion,0,0,0,0,0,1,0,0,0,0
107,Herbal for hypertension,0,1,0,0,0,0,0,0,0,0
108,I need a herbal for ligament problems,0,1,0,0,0,0,0,0,0,0
109,Is there a herbal for viral infection,1,0,0,0,0,0,0,0,0,0
110,Herbal for sore throat,0,0,0,0,0,1,0,0,0,1
111,I need a herbal for heart disease,0,0,1,1,0,0,0,0,0,0
112,I need a herbal for scalds on skin,0,0,0,0,1,0,0,0,0,0
113,Is there a remedy for radical damage,0,0,0,1,0,0,0,0,1,0
114,I need a herbal for viral infection,1,0,0,0,0,0,0,0,0,0
115,Herbal for muscle pain,0,1,0,0,0,0,0,0,0,1
116,What herbal should I use with bone problems,0,1,0,0,0,0,0,0,0,0
117,What herbal should I use with respiratory infection,0,1,0,0,0,0,0,0,1,1
118,Is there a herbal for acute otitis media,0,1,0,0,0,0,0,0,0,0
119,I have hepatoprotective,0,1,0,1,0,0,0,0,0,0
120,My need concerns with cell growth,0,0,0,0,1,0,0,0,1,0
121,Herbal for fiber,1,0,1,0,0,0,0,0,1,0
122,I need a herbal for weight loss,0,0,0,0,0,0,1,0,0,0
123,What herbal should I use with tea,0,1,1,1,0,0,0,1,1,0
124,Is there a remedy for cancer treatment,0,0,0,1,0,0,0,0,0,0
125,I need a herbal for nausea,0,0,0,0,0,1,0,0,0,0
126,Which natural remedy should I use for Alzheimerâ€™s disease,0,0,0,1,0,0,0,0,0,0
127,Is there a herbal for ulcers,1,0,0,0,0,0,0,0,0,0
128,What herbal should I use with rich in iron,0,0,1,0,1,0,0,0,0,0
129,My need concerns with weight loss,0,0,0,0,0,0,1,0,0,0
130,Herbal for anti-spasm,0,1,1,0,0,0,0,0,0,0
131,Herbal for acute rhinitis,0,1,0,0,0,0,0,0,0,0
132,My need concerns with upper respiratory tract infection,0,1,0,0,0,0,0,0,1,1
133,I have hyperglycemia,0,0,0,0,1,0,0,0,0,0
134,Is there a herbal for anti-diabetic,1,0,0,0,1,0,1,0,0,0
135,Which natural remedy should I use for hyperglycemia,0,0,0,0,1,0,0,0,0,0
136,What herbal should I use with upper respiratory tract infection,0,1,0,0,0,0,0,0,1,1
137,Is there a herbal for Vitamin C,1,0,1,0,1,0,0,0,1,0
138,Is there a remedy for dull hair,0,0,0,0,1,0,0,0,0,0
139,Herbal for cough,0,1,0,0,0,1,0,0,1,1
140,I need a herbal for digestion,0,0,0,0,0,1,0,0,1,0
141,My need concerns with sore throat,0,0,0,0,0,1,0,0,0,1
142,Herbal for dry cough,0,1,0,0,0,0,0,0,0,0
143,What herbal should I use with healthy digestion,0,0,0,0,0,1,0,0,0,0
144,I need a herbal for spasm,0,1,1,0,0,0,0,0,0,0
145,I need a herbal for anxiety,0,0,0,1,0,0,0,0,0,0
146,I need a herbal for stomach pain,0,1,0,0,0,1,0,0,0,0
147,Is there a remedy for cooling sensation,0,0,0,0,0,1,0,0,0,0
148,My need concerns with bloating,0,0,0,0,0,1,0,0,0,0
149,Is there a remedy for anti-obesity,0,1,0,0,0,0,0,0,0,0
150,Which natural remedy should I use for respiratory ailments,0,0,0,0,0,0,0,0,0,1
151,Herbal for Parkinsonâ€™s disease,0,0,0,1,0,0,0,0,0,0
152,My need concerns with antibacterial,0,0,0,0,1,0,0,0,0,0
153,Is there a remedy for hepatoprotective,0,1,0,1,0,0,0,0,0,0
154,I have joint problems,0,1,0,0,0,0,0,0,0,0
155,I need a herbal for asthma,0,0,0,0,0,0,0,0,0,1
156,What herbal should I use with rich in minerals,0,0,0,0,0,0,1,0,0,0
157,Is there a remedy for healthy hair,0,0,0,0,1,0,0,0,0,0
158,I need a herbal for respiratory ailments,0,0,0,0,0,0,0,0,0,1
159,Is there a herbal for cold,0,0,0,0,0,1,0,0,0,1
160,I have dysentery,0,0,0,1,0,0,0,0,1,0
161,Which natural remedy should I use for acute rhinosinusitis,0,1,0,0,0,0,0,0,0,0
162,I need a herbal for kidney disease,0,1,0,0,0,0,0,0,0,0
163,I have vitamin C,0,0,0,0,0,0,0,1,0,0
164,Herbal for muscle pain,0,1,0,0,0,0,0,0,0,1
165,Which natural remedy should I use for diarrhea,0,1,0,1,0,0,0,0,1,0
166,Which natural remedy should I use for wound infection,0,1,0,0,0,0,0,0,0,0
167,Is there a herbal for infected wound,0,1,0,0,0,0,0,0,0,0
168,Is there a herbal for antibacterial,0,0,0,0,1,0,0,0,0,0
169,Which natural remedy should I use for skin infection,0,0,0,0,1,0,0,0,0,0
170,Is there a remedy for low calorie count,1,0,0,0,0,0,0,0,0,0
171,I need a herbal for hepatoprotective,0,1,0,1,0,0,0,0,0,0
172,Is there a herbal for platelet aggregation,0,1,0,0,0,0,0,0,0,0
173,My need concerns with bad breath,0,0,0,0,0,1,0,0,0,0
174,Is there a remedy for ligament problems,0,1,0,0,0,0,0,0,0,0
175,My need concerns with headaches,0,0,0,0,0,1,0,0,0,0
176,I have weight management,0,0,0,0,0,0,1,0,0,0
177,I have rhinitis,0,1,0,0,0,1,0,0,0,0
178,Which natural remedy should I use for urinary tract infection,0,1,0,0,0,0,0,0,0,0
179,I have rhinorrhea,0,0,0,0,0,1,0,0,0,0
180,My need concerns with loose bowel movement,0,1,0,0,0,0,0,0,0,0
181,Is there a remedy for hepatitis,0,1,0,1,0,0,0,0,0,0
182,What herbal should I use with viral infection,1,0,0,0,0,0,0,0,0,0
183,Which natural remedy should I use for loose stools,0,1,0,0,0,0,0,0,0,0
184,Is there a remedy for anti-spasm,0,1,1,0,0,0,0,0,0,0
185,Is there a remedy for anti-diarrhea,0,1,0,0,0,0,0,0,0,0
186,I have nasal congestion,0,1,0,0,0,2,0,0,0,1
187,Herbal for dysentery,0,0,0,1,0,0,0,0,1,0
188,Is there a herbal for laryngitis,0,1,0,0,0,0,0,0,1,1
189,Which natural remedy should I use for rheumatism,0,1,0,0,0,0,0,0,0,0
190,Is there a remedy for nutrient deficiencies,0,0,0,0,0,0,0,1,0,0
191,Is there a remedy for joint problems,0,1,0,0,0,0,0,0,0,0
192,Herbal for bone problems,0,1,0,0,0,0,0,0,0,0
193,What herbal should I use with source of B vitamins,1,0,0,0,0,0,0,0,0,0
194,I have tea,0,1,1,1,0,0,0,1,1,0
195,What herbal should I use with alkaloids,0,0,0,0,0,0,0,0,0,1
196,Is there a remedy for diarrhea,0,1,0,1,0,0,0,0,1,0
197,What herbal should I use with stomach discomfort,0,1,0,0,0,1,0,0,0,0
198,What herbal should I use with hair,0,0,0,0,1,0,0,0,0,0
199,What herbal should I use with liver pain,0,0,0,1,0,0,0,0,0,0
200,Which natural remedy should I use for blood clotting,0,1,0,0,0,0,0,0,0,0
201,My need concerns with arthritis,0,1,0,0,0,0,0,0,0,0
202,I have healthy hair,0,0,0,0,1,0,0,0,0,0
203,Is there a remedy for cell growth,0,0,0,0,1,0,0,0,1,0
204,Is there a herbal for respiratory tract infection,0,1,0,0,0,0,0,0,1,1
205,Is there a herbal for UTI,0,1,0,0,0,0,0,0,0,0
206,Is there a herbal for Alzheimerâ€™s disease,0,0,0,1,0,0,0,0,0,0
207,My need concerns with skin infection,0,0,0,0,1,0,0,0,0,0
208,I need a herbal for gut problems,1,0,0,0,0,0,0,0,0,0
209,I need a herbal for skin irritation,0,0,0,0,0,0,0,0,0,1
210,I need a herbal for hepatitis,0,1,0,1,0,0,0,0,0,0
211,Is there a remedy for loose bowel movement,0,1,0,0,0,0,0,0,0,0
212,Herbal for ulcers,1,0,0,0,0,0,0,0,0,0
213,Which natural remedy should I use for weight management,0,0,0,0,0,0,1,0,0,0
214,Is there a herbal for colds,0,1,0,0,0,0,0,0,0,0
215,I have kidney stones,0,1,1,0,0,0,0,0,0,0
216,I have oral bacteria,0,0,0,0,0,1,0,0,0,0
217,I need a herbal for digestive discomfort,0,0,0,0,0,1,0,0,0,0
218,Is there a remedy for anemic,0,0,1,0,0,0,0,0,0,0
219,My need concerns with hepatoprotective,0,1,0,1,0,0,0,0,0,0
220,Herbal for relaxing,0,0,1,1,0,0,0,0,0,0
221,Which natural remedy should I use for high uric acid,0,1,0,0,0,0,0,0,0,0
222,I need a herbal for flavonoids,1,0,0,0,0,0,0,1,1,1
223,Is there a herbal for stomach discomfort,0,1,0,0,0,1,0,0,0,0
224,I have weight loss,0,0,0,0,0,0,1,0,0,0
225,What herbal should I use with infection,0,1,0,0,1,0,1,0,1,0
226,I need a herbal for low calorie count,1,0,0,0,0,0,0,0,0,0
227,I have radical damage,0,0,0,1,0,0,0,0,1,0
228,I need a herbal for skin,0,0,0,0,1,0,0,0,1,1
229,I have source of B vitamins,1,0,0,0,0,0,0,0,0,0
230,My need concerns with refreshing,0,0,0,0,0,1,0,0,0,0
231,Which natural remedy should I use for staph infection,0,0,0,0,1,0,0,0,0,0
232,Is there a herbal for diabetes,1,0,0,0,1,0,1,1,1,0
233,Herbal for gut,0,0,1,0,0,0,0,0,0,0
234,Is there a remedy for rich in potassium,1,0,0,0,0,0,0,0,0,0
235,Is there a remedy for insect bites,0,0,0,0,0,0,0,0,0,1
236,I have wound,0,1,0,0,0,0,0,0,1,0
237,I have respiratory infection,0,1,0,0,0,0,0,0,1,1
238,Is there a remedy for rheumatism,0,1,0,0,0,0,0,0,0,0
239,My need concerns with Vitamin A,0,0,0,0,1,0,0,0,0,0
240,I have gut problems,1,0,0,0,0,0,0,0,0,0
241,Is there a herbal for arthritis,0,1,0,0,0,0,0,0,0,0
242,What herbal should I use with wound,0,1,0,0,0,0,0,0,1,0
243,Is there a remedy for alkaloids,0,0,0,0,0,0,0,0,0,1
244,Is there a herbal for dull hair,0,0,0,0,1,0,0,0,0,0
245,Is there a remedy for dysentery,0,0,0,1,0,0,0,0,1,0
246,Is there a herbal for obesity,0,1,0,0,0,0,0,0,0,0
247,I have vitamin E,0,0,0,0,0,0,0,1,0,0
248,My need concerns with rich in micronutrients,1,0,0,0,0,0,0,0,0,0
249,Is there a herbal for oral bacteria,0,0,0,0,0,1,0,0,0,0
250,I have prevent weight gain,0,0,1,0,0,0,0,0,0,0
251,I have loose bowel movement,0,1,0,0,0,0,0,0,0,0
252,My need concerns with lower respiratory tract infection,0,1,0,0,0,0,0,0,1,1
253,I have immune system,1,0,0,1,1,0,1,0,1,0
254,What herbal should I use with flavonoids,1,0,0,0,0,0,0,1,1,1
255,What herbal should I use with protein,0,0,0,0,0,0,0,1,0,0
256,Is there a herbal for iron,0,0,1,0,0,0,0,1,0,0
257,I have inflammation,1,1,0,1,0,0,0,1,0,1
258,Is there a herbal for freshen breath,0,0,0,0,0,1,0,0,0,0
259,My need concerns with minerals,0,0,0,0,1,0,0,0,0,0
260,My need concerns with cirrhosis,0,0,0,1,0,0,0,0,0,0
261,I need a herbal for anti-obesity,0,1,0,0,0,0,0,0,0,0
262,I need a herbal for acute rhinitis,0,1,0,0,0,0,0,0,0,0
263,I have urinary tract,0,1,0,0,0,0,0,0,0,0
264,Is there a remedy for high blood pressure,1,1,0,0,1,0,0,0,0,0
265,Which natural remedy should I use for flavonoids,1,0,0,0,0,0,0,1,1,1
266,Which natural remedy should I use for anti-diarrhea,0,1,0,0,0,0,0,0,0,0
267,Is there a remedy for bloating,0,0,0,0,0,1,0,0,0,0
268,What herbal should I use with lower cholesterol,0,0,1,0,0,0,0,0,0,0
269,What herbal should I use with promote satiety/satisfaction,0,0,0,0,0,0,1,0,0,0
270,Is there a herbal for vitamin C,0,0,0,0,0,0,0,1,0,0
271,Is there a herbal for nasal congestion,0,1,0,0,0,2,0,0,0,1
272,What herbal should I use with heart problems,1,0,0,0,0,0,0,0,0,0
273,I have obesity,0,1,0,0,0,0,0,0,0,0
274,I need a herbal for tea,0,1,1,1,0,0,0,1,1,0
275,I have platelet aggregation,0,1,0,0,0,0,0,0,0,0
276,Herbal for antibacterial,0,0,0,0,1,0,0,0,0,0
277,Which natural remedy should I use for hepatoprotective,0,1,0,1,0,0,0,0,0,0
278,What herbal should I use with dull hair,0,0,0,0,1,0,0,0,0,0
279,Herbal for source of B vitamins,1,0,0,0,0,0,0,0,0,0
280,My need concerns with hypertension,0,1,0,0,0,0,0,0,0,0
281,Which natural remedy should I use for low calories,0,0,0,0,1,0,0,0,0,0
282,Is there a remedy for rich in micronutrients,1,0,0,0,0,0,0,0,0,0
283,I need a herbal for cancer treatment,0,0,0,1,0,0,0,0,0,0
284,Is there a remedy for ulcer,0,1,0,0,0,0,0,0,0,0
285,What herbal should I use with constipation,1,0,0,0,0,0,0,0,0,0
286,My need concerns with inflammation,1,1,0,1,0,0,0,1,0,1
287,Herbal for low calories,0,0,0,0,1,0,0,0,0,0
288,Is there a herbal for constipation,1,0,0,0,0,0,0,0,0,0
289,Which natural remedy should I use for digestive discomfort,0,0,0,0,0,1,0,0,0,0
290,Is there a herbal for liver pain,0,0,0,1,0,0,0,0,0,0
291,I have hepatitis,0,1,0,1,0,0,0,0,0,0
292,Is there a remedy for antimicrobial,0,1,0,0,0,1,0,0,1,1
293,Is there a remedy for laryngitis,0,1,0,0,0,0,0,0,1,1
294,What herbal should I use with muscle pain,0,1,0,0,0,0,0,0,0,1
295,I need a herbal for nasal congestion,0,1,0,0,0,2,0,0,0,1
296,I need a herbal for inflammation,1,1,0,1,0,0,0,1,0,1
297,I need a herbal for digestive enzymes,0,0,0,0,0,1,0,0,0,0
298,I have tumor,0,1,0,0,0,0,0,0,0,0
299,I need a herbal for antioxidant,0,1,0,1,0,0,1,1,1,0
300,Herbal for healthy digestion,0,0,0,0,0,1,0,0,0,0
301,Herbal for lower respiratory tract infection,0,1,0,0,0,0,0,0,1,1
302,Which natural remedy should I use for hypertension,0,1,0,0,0,0,0,0,0,0
303,Which natural remedy should I use for Vitamin A,0,0,0,0,1,0,0,0,0,0
304,Herbal for laryngitis,0,1,0,0,0,0,0,0,1,1
305,I have indigestion,0,0,0,0,0,1,0,0,1,0
306,I need a herbal for skin infection,0,0,0,0,1,0,0,0,0,0
307,Is there a remedy for spasm,0,1,1,0,0,0,0,0,0,0
308,I have nutrient deficiencies,0,0,0,0,0,0,0,1,0,0
