index,SYMPTOMS,JACKFRUIT,SAMBONG,LEMON,JASMINE,MANGO,MINT,AMPALAYA,MALUNGGAY,GUAVA,LAGUNDI
309,My need concerns with antioxidant,0,1,0,1,0,0,1,1,1,0
310,Is there a herbal for bone problems,0,1,0,0,0,0,0,0,0,0
311,Which natural remedy should I use for relaxing,0,0,1,1,0,0,0,0,0,0
312,Which natural remedy should I use for kidney stones,0,1,1,0,0,0,0,0,0,0
313,Is there a herbal for skin aging,0,0,0,0,0,0,0,0,1,0
314,Is there a herbal for heart disease,0,0,1,1,0,0,0,0,0,0
315,Which natural remedy should I use for cell repair,0,0,0,0,1,0,0,0,1,0
316,Herbal for kidney disease,0,1,0,0,0,0,0,0,0,0
317,I need a herbal for diarrhea,0,1,0,1,0,0,0,0,1,0
318,Which natural remedy should I use for sedative,0,0,1,1,0,0,0,0,0,0
319,Which natural remedy should I use for arthritis,0,1,0,0,0,0,0,0,0,0
320,Is there a herbal for healthy hair,0,0,0,0,1,0,0,0,0,0
321,I need a herbal for lower cholesterol,0,0,1,0,0,0,0,0,0,0
322,Is there a herbal for dysentery,0,0,0,1,0,0,0,0,1,0
323,I have high blood pressure,1,1,0,0,1,0,0,0,0,0
324,My need concerns with antimicrobial,0,1,0,0,0,1,0,0,1,1
325,I have rich in micronutrients,1,0,0,0,0,0,0,0,0,0
326,What herbal should I use with wound healing,0,1,0,0,0,0,0,0,1,0
327,My need concerns with asthma,0,0,0,0,0,0,0,0,0,1
328,Herbal for nausea,0,0,0,0,0,1,0,0,0,0
329,Herbal for anemic,0,0,1,0,0,0,0,0,0,0
330,Is there a herbal for ligament problems,0,1,0,0,0,0,0,0,0,0
331,Which natural remedy should I use for acute otitis media,0,1,0,0,0,0,0,0,0,0
332,What herbal should I use with Parkinsonâ€™s disease,0,0,0,1,0,0,0,0,0,0
333,Which natural remedy should I use for liver disease,0,0,0,1,0,0,0,0,0,0
334,Is there a remedy for dry cough,0,1,0,0,0,0,0,0,0,0
335,What herbal should I use with high fiber,0,0,1,0,0,0,1,0,0,0
336,My need concerns with nasal congestion,0,1,0,0,0,2,0,0,0,1
337,My need concerns with liver pain,0,0,0,1,0,0,0,0,0,0
338,What herbal should I use with insect bites,0,0,0,0,0,0,0,0,0,1
339,Which natural remedy should I use for protein,0,0,0,0,0,0,0,1,0,0
340,I have digestive enzymes,0,0,0,0,0,1,0,0,0,0
341,Herbal for iron,0,0,1,0,0,0,0,1,0,0
342,Is there a remedy for skin aging,0,0,0,0,0,0,0,0,1,0
343,Is there a herbal for upper respiratory tract infection,0,1,0,0,0,0,0,0,1,1
344,I have skin aging,0,0,0,0,0,0,0,0,1,0
345,I need a herbal for calm,0,0,0,1,0,1,0,0,0,0
346,I have diarrhea,0,1,0,1,0,0,0,0,1,0
347,What herbal should I use with bad breath,0,0,0,0,0,1,0,0,0,0
348,Is there a herbal for kidney problem,0,1,0,0,0,0,0,0,0,0
349,I need a herbal for hyperglycemia,0,0,0,0,1,0,0,0,0,0
350,My need concerns with liver disease,0,0,0,1,0,0,0,0,0,0
351,I need a herbal for antibacterial,0,0,0,0,1,0,0,0,0,0
352,Is there a herbal for alkaloids,0,0,0,0,0,0,0,0,0,1
353,Herbal for urinary tract infection,0,1,0,0,0,0,0,0,0,0
354,I need a herbal for anti-spasm,0,1,1,0,0,0,0,0,0,0
355,Which natural remedy should I use for anti-melanogenic,1,1,0,0,0,0,0,0,0,0
356,I have cancer treatment,0,0,0,1,0,0,0,0,0,0
357,Is there a herbal for nutrient deficiencies,0,0,0,0,0,0,0,1,0,0
358,Is there a remedy for weight loss,0,0,0,0,0,0,1,0,0,0
359,Is there a herbal for high blood pressure,1,1,0,0,1,0,0,0,0,0
360,I need a herbal for cooling sensation,0,0,0,0,0,1,0,0,0,0
361,I need a herbal for cold,0,0,0,0,0,1,0,0,0,1
362,I need a herbal for boost energy level,0,0,0,0,0,0,0,1,0,0
363,Is there a remedy for medicine,0,0,0,1,0,0,0,0,0,1
364,Herbal for abdominal pain,0,0,0,1,0,0,0,0,0,0
365,What herbal should I use with cirrhosis,0,0,0,1,0,0,0,0,0,0
366,My need concerns with respiratory ailments,0,0,0,0,0,0,0,0,0,1
367,I have lower cholesterol,0,0,1,0,0,0,0,0,0,0
368,Which natural remedy should I use for skin damage,0,0,0,0,0,0,0,0,1,0
369,I need a herbal for urinary tract,0,1,0,0,0,0,0,0,0,0
370,What herbal should I use with rhinorrhea,0,0,0,0,0,1,0,0,0,0
371,Which natural remedy should I use for anti-diabetic,1,0,0,0,1,0,1,0,0,0
372,I need a herbal for diabetes,1,0,0,0,1,0,1,1,1,0
373,My need concerns with acute otitis media,0,1,0,0,0,0,0,0,0,0
374,I have asthma,0,0,0,0,0,0,0,0,0,1
375,My need concerns with gut,0,0,1,0,0,0,0,0,0,0
376,Is there a herbal for joint problems,0,1,0,0,0,0,0,0,0,0
377,Is there a remedy for migraine,0,0,0,0,0,1,0,0,0,0
378,What herbal should I use with anti-spasm,0,1,1,0,0,0,0,0,0,0
379,My need concerns with Vitamin C,1,0,1,0,1,0,0,0,1,0
380,My need concerns with rich in vitamins,0,0,0,0,0,0,1,1,0,0
381,My need concerns with urinary tract infection,0,1,0,0,0,0,0,0,0,0
382,My need concerns with skincare,0,0,0,0,0,0,0,1,0,0
383,What herbal should I use with urinary tract,0,1,0,0,0,0,0,0,0,0
384,Herbal for skin damage,0,0,0,0,0,0,0,0,1,0
385,My need concerns with rich in minerals,0,0,0,0,0,0,1,0,0,0
386,Is there a herbal for anti-melanogenic,1,1,0,0,0,0,0,0,0,0
387,My need concerns with heart problems,1,0,0,0,0,0,0,0,0,0
388,What herbal should I use with nutrient deficiencies,0,0,0,0,0,0,0,1,0,0
389,I have anti-spasm,0,1,1,0,0,0,0,0,0,0
390,Is there a remedy for hypertension,0,1,0,0,0,0,0,0,0,0
391,I need a herbal for high blood pressure,1,1,0,0,1,0,0,0,0,0
392,My need concerns with liver,0,1,0,1,0,0,1,0,0,0
393,I have calcium,0,0,0,0,0,0,0,1,0,0
394,I need a herbal for high cholesterol,0,0,0,0,0,0,1,0,0,0
395,Is there a herbal for gut problems,1,0,0,0,0,0,0,0,0,0
396,I need a herbal for wound infection,0,1,0,0,0,0,0,0,0,0
397,I have malnutrition,0,0,0,0,0,0,0,1,0,0
398,Which natural remedy should I use for rich in potassium,1,0,0,0,0,0,0,0,0,0
399,Is there a remedy for pharyngitis,0,1,0,0,0,0,0,0,1,1
400,I have laryngitis,0,1,0,0,0,0,0,0,1,1
401,I have cirrhosis,0,0,0,1,0,0,0,0,0,0
402,I have stomach pain,0,1,0,0,0,1,0,0,0,0
403,Herbal for high uric acid,0,1,0,0,0,0,0,0,0,0
404,Herbal for hepatitis,0,1,0,1,0,0,0,0,0,0
405,I have lower respiratory tract infection,0,1,0,0,0,0,0,0,1,1
406,I have sedative,0,0,1,1,0,0,0,0,0,0
407,Which natural remedy should I use for insect bites,0,0,0,0,0,0,0,0,0,1
408,My need concerns with rich in fiber,0,0,1,0,0,0,1,0,0,0
409,I need a herbal for blood sugar,1,0,0,0,1,0,1,1,0,0
410,Is there a herbal for inflammation,1,1,0,1,0,0,0,1,0,1
411,What herbal should I use with stomach pain,0,1,0,0,0,1,0,0,0,0
412,Which natural remedy should I use for heart problems,1,0,0,0,0,0,0,0,0,0
413,What herbal should I use with migraine,0,0,0,0,0,1,0,0,0,0
414,My need concerns with respiratory infection,0,1,0,0,0,0,0,0,1,1
415,My need concerns with skin aging,0,0,0,0,0,0,0,0,1,0
416,I need a herbal for kidney stones,0,1,1,0,0,0,0,0,0,0
417,Herbal for rich in vitamins,0,0,0,0,0,0,1,1,0,0
418,My need concerns with skin damage,0,0,0,0,0,0,0,0,1,0
419,I need a herbal for source of B vitamins,1,0,0,0,0,0,0,0,0,0
420,I have heart disease,0,0,1,1,0,0,0,0,0,0
421,My need concerns with vitamin E,0,0,0,0,0,0,0,1,0,0
422,Is there a herbal for low calories,0,0,0,0,1,0,0,0,0,0
423,What herbal should I use with medicine,0,0,0,1,0,0,0,0,0,1
424,What herbal should I use with relaxing,0,0,1,1,0,0,0,0,0,0
425,Which natural remedy should I use for fiber,1,0,1,0,0,0,0,0,1,0
426,Herbal for headaches,0,0,0,0,0,1,0,0,0,0
427,What herbal should I use with rich in fiber,0,0,1,0,0,0,1,0,0,0
428,Which natural remedy should I use for indigestion,0,0,0,0,0,1,0,0,1,0
429,My need concerns with LBM,0,1,0,0,0,0,0,0,0,0
430,Is there a remedy for muscle pain,0,1,0,0,0,0,0,0,0,1
431,Which natural remedy should I use for colds,0,1,0,0,0,0,0,0,0,0
432,Is there a remedy for wound healing,0,1,0,0,0,0,0,0,1,0
433,I need a herbal for freshen breath,0,0,0,0,0,1,0,0,0,0
434,Is there a herbal for anti-diarrhea,0,1,0,0,0,0,0,0,0,0
435,What herbal should I use with diarrhea,0,1,0,1,0,0,0,0,1,0
436,I need a herbal for fever,0,1,0,0,0,0,0,0,0,1
437,What herbal should I use with low calorie count,1,0,0,0,0,0,0,0,0,0
438,I need a herbal for anti-diarrhea,0,1,0,0,0,0,0,0,0,0
439,Is there a herbal for urinary tract,0,1,0,0,0,0,0,0,0,0
440,I have kidney disease,0,1,0,0,0,0,0,0,0,0
441,Is there a herbal for skin irritation,0,0,0,0,0,0,0,0,0,1
442,Is there a herbal for hypertension,0,1,0,0,0,0,0,0,0,0
443,Herbal for scalds on skin,0,0,0,0,1,0,0,0,0,0
444,Is there a remedy for boost energy level,0,0,0,0,0,0,0,1,0,0
445,Is there a herbal for cough,0,1,0,0,0,1,0,0,1,1
446,I have acute rhinitis,0,1,0,0,0,0,0,0,0,0
447,I need a herbal for aromatherapy,0,0,0,0,0,1,0,0,0,0
448,Herbal for blood clotting,0,1,0,0,0,0,0,0,0,0
449,My need concerns with acute rhinosinusitis,0,1,0,0,0,0,0,0,0,0
450,I have support fetal growth,0,0,0,0,1,0,0,0,0,0
451,Which natural remedy should I use for healthy hair,0,0,0,0,1,0,0,0,0,0
452,Which natural remedy should I use for skin burns,0,0,0,0,1,0,0,0,0,0
453,What herbal should I use with skin burns,0,0,0,0,1,0,0,0,0,0
454,My need concerns with fever,0,1,0,0,0,0,0,0,0,1
455,Which natural remedy should I use for sore throat,0,0,0,0,0,1,0,0,0,1
456,What herbal should I use with scalds on skin,0,0,0,0,1,0,0,0,0,0
457,Which natural remedy should I use for anemia,0,0,1,0,0,0,0,0,0,0
458,Herbal for dental issues,0,0,0,0,0,1,0,0,0,0
459,Is there a remedy for bad breath,0,0,0,0,0,1,0,0,0,0
460,Is there a remedy for rich in vitamins,0,0,0,0,0,0,1,1,0,0
461,What herbal should I use with fiber,1,0,1,0,0,0,0,0,1,0
462,What herbal should I use with fever,0,1,0,0,0,0,0,0,0,1
463,Is there a remedy for high uric acid,0,1,0,0,0,0,0,0,0,0
464,Is there a herbal for LBM,0,1,0,0,0,0,0,0,0,0
465,I have rich in fiber,0,0,1,0,0,0,1,0,0,0
466,Which natural remedy should I use for acute rhinitis,0,1,0,0,0,0,0,0,0,0
467,My need concerns with radical damage,0,0,0,1,0,0,0,0,1,0
468,My need concerns with obesity,0,1,0,0,0,0,0,0,0,0
469,My need concerns with insect bites,0,0,0,0,0,0,0,0,0,1
470,What herbal should I use with calm,0,0,0,1,0,1,0,0,0,0
471,I have cold,0,0,0,0,0,1,0,0,0,1
472,Is there a herbal for medicine,0,0,0,1,0,0,0,0,0,1
473,What herbal should I use with ulcer,0,1,0,0,0,0,0,0,0,0
474,I need a herbal for liver disease,0,0,0,1,0,0,0,0,0,0
475,Herbal for skin,0,0,0,0,1,0,0,0,1,1
476,Herbal for rhinitis,0,1,0,0,0,1,0,0,0,0
477,What herbal should I use with gut problems,1,0,0,0,0,0,0,0,0,0
478,Is there a remedy for hair,0,0,0,0,1,0,0,0,0,0
479,Which natural remedy should I use for rich in fiber,0,0,1,0,0,0,1,0,0,0
480,What herbal should I use with relax muscle,0,1,0,0,0,0,0,0,0,0
481,Is there a remedy for infection,0,1,0,0,1,0,1,0,1,0
482,Which natural remedy should I use for rich in iron,0,0,1,0,1,0,0,0,0,0
483,My need concerns with skin problems,1,1,0,0,0,0,0,0,0,0
484,Which natural remedy should I use for respiratory infection,0,1,0,0,0,0,0,0,1,1
485,Is there a remedy for Parkinsonâ€™s disease,0,0,0,1,0,0,0,0,0,0
486,I need a herbal for ulcer,0,1,0,0,0,0,0,0,0,0
487,I have ulcer,0,1,0,0,0,0,0,0,0,0
488,Is there a remedy for rich in fiber,0,0,1,0,0,0,1,0,0,0
489,Which natural remedy should I use for wound,0,1,0,0,0,0,0,0,1,0
490,What herbal should I use with respiratory ailments,0,0,0,0,0,0,0,0,0,1
491,Which natural remedy should I use for kidney problem,0,1,0,0,0,0,0,0,0,0
492,I need a herbal for stress,0,0,0,1,0,0,0,1,0,0
493,My need concerns with diabetes,1,0,0,0,1,0,1,1,1,0
494,I have spasm,0,1,1,0,0,0,0,0,0,0
495,Is there a remedy for kidney stones,0,1,1,0,0,0,0,0,0,0
496,Which natural remedy should I use for liver pain,0,0,0,1,0,0,0,0,0,0
497,I need a herbal for bloating,0,0,0,0,0,1,0,0,0,0
498,My need concerns with vitamin C,0,0,0,0,0,0,0,1,0,0
499,Herbal for hair,0,0,0,0,1,0,0,0,0,0
500,Which natural remedy should I use for cancer treatment,0,0,0,1,0,0,0,0,0,0
501,I need a herbal for cell damage,0,0,0,0,1,0,0,0,1,0
502,What herbal should I use with rhinitis,0,1,0,0,0,1,0,0,0,0
503,Is there a herbal for hepatitis,0,1,0,1,0,0,0,0,0,0
504,Is there a remedy for tea,0,1,1,1,0,0,0,1,1,0
505,Is there a remedy for kidney disease,0,1,0,0,0,0,0,0,0,0
506,I need a herbal for iron,0,0,1,0,0,0,0,1,0,0
507,My need concerns with hair,0,0,0,0,1,0,0,0,0,0
508,My need concerns with kidney disease,0,1,0,0,0,0,0,0,0,0
509,What herbal should I use with liver,0,1,0,1,0,0,1,0,0,0
510,Herbal for natural decongestant,0,0,0,0,0,1,0,0,0,0
511,What herbal should I use with boost energy level,0,0,0,0,0,0,0,1,0,0
512,What herbal should I use with laryngitis,0,1,0,0,0,0,0,0,1,1
513,Which natural remedy should I use for rich in micronutrients,1,0,0,0,0,0,0,0,0,0
514,I need a herbal for relax muscle,0,1,0,0,0,0,0,0,0,0
515,Is there a herbal for blood sugar control,0,0,0,0,0,0,0,1,1,0
516,I need a herbal for mental clarity,0,0,0,1,0,0,0,0,0,0
517,Is there a herbal for blood clotting,0,1,0,0,0,0,0,0,0,0
518,What herbal should I use with digestive discomfort,0,0,0,0,0,1,0,0,0,0
519,What herbal should I use with dysentery,0,0,0,1,0,0,0,0,1,0
520,I have bad breath,0,0,0,0,0,1,0,0,0,0
521,I have abdominal pain,0,0,0,1,0,0,0,0,0,0
522,I have colds,0,1,0,0,0,0,0,0,0,0
523,What herbal should I use with skin damage,0,0,0,0,0,0,0,0,1,0
524,What herbal should I use with asthma,0,0,0,0,0,0,0,0,0,1
525,Is there a remedy for refreshing,0,0,0,0,0,1,0,0,0,0
526,Is there a herbal for anemic,0,0,1,0,0,0,0,0,0,0
527,Is there a herbal for pregnancy,0,0,0,0,1,0,0,0,0,0
528,I have freshen breath,0,0,0,0,0,1,0,0,0,0
529,My need concerns with cuts,0,1,0,0,0,0,0,0,0,0
530,Is there a remedy for loose stools,0,1,0,0,0,0,0,0,0,0
531,What herbal should I use with joint problems,0,1,0,0,0,0,0,0,0,0
532,Is there a herbal for rhinorrhea,0,0,0,0,0,1,0,0,0,0
533,What herbal should I use with liver disease,0,0,0,1,0,0,0,0,0,0
534,Which natural remedy should I use for high cholesterol,0,0,0,0,0,0,1,0,0,0
535,Is there a herbal for rheumatism,0,1,0,0,0,0,0,0,0,0
536,Is there a remedy for source of B vitamins,1,0,0,0,0,0,0,0,0,0
537,What herbal should I use with immune system,1,0,0,1,1,0,1,0,1,0
538,My need concerns with anxiety,0,0,0,1,0,0,0,0,0,0
539,Is there a herbal for indigestion,0,0,0,0,0,1,0,0,1,0
540,Is there a herbal for low calorie count,1,0,0,0,0,0,0,0,0,0
541,Is there a remedy for freshen breath,0,0,0,0,0,1,0,0,0,0
542,I need a herbal for rheumatism,0,1,0,0,0,0,0,0,0,0
543,I need a herbal for skin problems,1,1,0,0,0,0,0,0,0,0
544,I have dry cough,0,1,0,0,0,0,0,0,0,0
545,Which natural remedy should I use for stomach pain,0,1,0,0,0,1,0,0,0,0
546,I have migraine,0,0,0,0,0,1,0,0,0,0
547,I need a herbal for skincare,0,0,0,0,0,0,0,1,0,0
548,Is there a herbal for hair,0,0,0,0,1,0,0,0,0,0
549,What herbal should I use with anemic,0,0,1,0,0,0,0,0,0,0
550,Is there a remedy for mental clarity,0,0,0,1,0,0,0,0,0,0
551,What herbal should I use with blood sugar control,0,0,0,0,0,0,0,1,1,0
552,What herbal should I use with wound infection,0,1,0,0,0,0,0,0,0,0
553,I have infected wound,0,1,0,0,0,0,0,0,0,0
554,What herbal should I use with skin problems,1,1,0,0,0,0,0,0,0,0
555,What herbal should I use with acute rhinitis,0,1,0,0,0,0,0,0,0,0
556,What herbal should I use with kidney problem,0,1,0,0,0,0,0,0,0,0
557,My need concerns with cancer treatment,0,0,0,1,0,0,0,0,0,0
558,Herbal for rhinorrhea,0,0,0,0,0,1,0,0,0,0
559,I have aromatherapy,0,0,0,0,0,1,0,0,0,0
560,Is there a herbal for cancer,1,0,0,1,0,0,0,0,0,0
561,I have blood sugar,1,0,0,0,1,0,1,1,0,0
562,What herbal should I use with tonsilitis,0,1,0,0,0,0,0,0,1,1
563,I have infection,0,1,0,0,1,0,1,0,1,0
564,Herbal for flavonoids,1,0,0,0,0,0,0,1,1,1
565,Which natural remedy should I use for calm,0,0,0,1,0,1,0,0,0,0
566,Which natural remedy should I use for cancer,1,0,0,1,0,0,0,0,0,0
567,Is there a remedy for respiratory ailments,0,0,0,0,0,0,0,0,0,1
568,Is there a herbal for lower respiratory tract infection,0,1,0,0,0,0,0,0,1,1
569,Herbal for migraine,0,0,0,0,0,1,0,0,0,0
570,Which natural remedy should I use for spasm,0,1,1,0,0,0,0,0,0,0
571,I have low calorie count,1,0,0,0,0,0,0,0,0,0
572,My need concerns with cough,0,1,0,0,0,1,0,0,1,1
573,Is there a remedy for obesity,0,1,0,0,0,0,0,0,0,0
574,I have Vitamin C,1,0,1,0,1,0,0,0,1,0
575,I have dull hair,0,0,0,0,1,0,0,0,0,0
576,I have skin damage,0,0,0,0,0,0,0,0,1,0
577,My need concerns with dental issues,0,0,0,0,0,1,0,0,0,0
578,I need a herbal for healthy hair,0,0,0,0,1,0,0,0,0,0
579,I have blood clotting,0,1,0,0,0,0,0,0,0,0
580,Is there a herbal for heart problems,1,0,0,0,0,0,0,0,0,0
581,Which natural remedy should I use for stroke,0,0,1,0,0,0,0,0,0,0
582,What herbal should I use with cell growth,0,0,0,0,1,0,0,0,1,0
583,I need a herbal for nutrient deficiencies,0,0,0,0,0,0,0,1,0,0
584,I need a herbal for rich in iron,0,0,1,0,1,0,0,0,0,0
585,I need a herbal for urinary tract infection,0,1,0,0,0,0,0,0,0,0
586,Herbal for joint problems,0,1,0,0,0,0,0,0,0,0
587,I have cough,0,1,0,0,0,1,0,0,1,1
588,Is there a herbal for asthma,0,0,0,0,0,0,0,0,0,1
589,Herbal for high fiber,0,0,1,0,0,0,1,0,0,0
590,Which natural remedy should I use for skin aging,0,0,0,0,0,0,0,0,1,0
591,Is there a remedy for blood sugar,1,0,0,0,1,0,1,1,0,0
592,I need a herbal for immune system,1,0,0,1,1,0,1,0,1,0
593,I have stroke,0,0,1,0,0,0,0,0,0,0
594,What herbal should I use with weight loss,0,0,0,0,0,0,1,0,0,0
595,My need concerns with calcium,0,0,0,0,0,0,0,1,0,0
596,Is there a remedy for high fiber,0,0,1,0,0,0,1,0,0,0
597,Is there a herbal for high cholesterol,0,0,0,0,0,0,1,0,0,0
598,Is there a herbal for liver,0,1,0,1,0,0,1,0,0,0
599,I need a herbal for rhinitis,0,1,0,0,0,1,0,0,0,0
600,Is there a remedy for antibacterial,0,0,0,0,1,0,0,0,0,0
601,Which natural remedy should I use for nasal congestion,0,1,0,0,0,2,0,0,0,1
602,Herbal for respiratory infection,0,1,0,0,0,0,0,0,1,1
603,I need a herbal for natural decongestant,0,0,0,0,0,1,0,0,0,0
604,Is there a herbal for prevent weight gain,0,0,1,0,0,0,0,0,0,0
605,Is there a herbal for loose bowel movement,0,1,0,0,0,0,0,0,0,0
606,Is there a remedy for skincare,0,0,0,0,0,0,0,1,0,0
607,Which natural remedy should I use for skincare,0,0,0,0,0,0,0,1,0,0
608,Herbal for boost energy level,0,0,0,0,0,0,0,1,0,0
609,I have rich in iron,0,0,1,0,1,0,0,0,0,0
610,My need concerns with fiber,1,0,1,0,0,0,0,0,1,0
611,I have nausea,0,0,0,0,0,1,0,0,0,0
612,I need a herbal for loose stools,0,1,0,0,0,0,0,0,0,0
613,Which natural remedy should I use for cooling sensation,0,0,0,0,0,1,0,0,0,0
614,My need concerns with cancer,1,0,0,1,0,0,0,0,0,0
615,What herbal should I use with antitumor,0,1,0,0,0,0,0,0,0,0
616,What herbal should I use with kidney disease,0,1,0,0,0,0,0,0,0,0
617,Herbal for skin irritation,0,0,0,0,0,0,0,0,0,1
